Pub_ID,Subfamily,Tribe,Genus,Subgenus,Species,Subspecies,"""Form""",Record_ID,Notes
pub0000000003,Culicinae,Aedini,Aedes,Ochlerotatus,tortilis,null,null,sp0000000133,
pub0000000003,Culicinae,Aedini,Aedes,Ochlerotatus,auratus,null,null,sp0000000134,
pub0000000003,Culicinae,Aedini,Aedes,Ochlerotatus,calumnior,null,null,sp0000000135,
pub0000000003,Culicinae,Aedini,Aedes,Gymnometopa,mediovittatus,null,null,sp0000000136,
pub0000000003,Culicinae,Aedini,Aedes,Howardina,walkeri,null,null,sp0000000137,
pub0000000003,Culicinae,Aedini,Aedes,Howardina,aurites,null,null,sp0000000138,
pub0000000003,Culicinae,Aedini,Aedes,Howardina,grabhami,null,null,sp0000000139,
pub0000000003,Culicinae,Aedini,Aedes,Howardina,inaequalis,null,null,sp0000000140,
pub0000000003,Culicinae,Aedini,Aedes,Howardina,stenei,null,null,sp0000000141,
pub0000000003,Culicinae,Aedini,Aedes,Stegomyia,aegypti,null,null,sp0000000142,
pub0000000003,Culicinae,Aedini,Haemagogus,Haemagogus,equinus,null,null,sp0000000143,
pub0000000003,Culicinae,Sabethini,Wyeomyia,Wyeomyia,nigritubus,null,null,sp0000000144,
pub0000000003,Culicinae,Sabethini,Wyeomyia,Wyeomyia,mitchellii,null,null,sp0000000145,
pub0000000003,Culicinae,Sabethini,Wyeomyia,Wyeomyia,vanduzeei,null,null,sp0000000146,
pub0000000003,Culicinae,Sabethini,Wyeomyia,Wyeomyia,luna,null,null,sp0000000147,
pub0000000003,Culicinae,Sabethini,Wyeomyia,Wyeomyia,stellata,null,null,sp0000000148,
pub0000000003,Culicinae,Sabethini,Wyeomyia,Wyeomyia,corona,null,null,sp0000000149,
pub0000000003,Culicinae,Sabethini,Wyeomyia,Wyeomyia,juxtahirsuta,null,null,sp0000000150,
pub0000000003,Culicinae,Sabethini,Wyeomyia,Wyeomyia,hirsuta,null,null,sp0000000151,
pub0000000003,Culicinae,Sabethini,Wyeomyia,Wyeomyia,atrata,null,null,sp0000000152,
pub0000000003,Culicinae,Sabethini,Limatus,null,hoffmani,null,null,sp0000000153,
pub0000000003,Culicinae,Toxorhynchitini,Toxorhynchites,Lynchiella,portoricensis,null,null,sp0000000154,
pub0000000003,Culicinae,Culicini,Culex,Melanoconion,,null,Jamaican form,sp0000000155,
pub0000000003,Culicinae,Aedini,Psorophora,Janthinosoma,,null,Jamaican form,sp0000000156,
pub0000000003,Culicinae,Sabethini,Wyeomyia,Wyeomyia,,null,Jamaican form A,sp0000000157,
pub0000000003,Culicinae,Sabethini,Wyeomyia,Wyeomyia,,null,Jamaican form B,sp0000000158,
pub0000000004,Culicinae,Culicini,Culex,Culex,pervigilans,null,null,sp0000000159,
pub0000000004,Culicinae,Culicini,Culex,Culex,rotoruae,null,null,sp0000000160,
pub0000000004,Culicinae,Culicini,Culex,Culex,asteliae,null,null,sp0000000161,
pub0000000004,Culicinae,Culicini,Culex,Culex,quinquefasciatus,null,null,sp0000000162,
pub0000000004,Culicinae,Culisetini,Culiseta,Climacura,tonnoiri,null,null,sp0000000163,
pub0000000004,Culicinae,Mansoniini,Coquillettidia,Austromansonia,tenuipalpis,null,null,sp0000000164,
pub0000000004,Culicinae,Mansoniini,Coquillettidia,Coquillettidia,iracunda,null,null,sp0000000165,
pub0000000005,Culicinae,Aedini,Aedes,Protomacleaya,zoosophus,null,null,sp0000000166,
pub0000000004,Culicinae,Aedini,Opifex,Opifex,fuscus,null,null,sp0000000167,
pub0000000004,Culicinae,Aedini,Opifex,Nothoskusea,chathamicus,null,null,sp0000000168,
pub0000000004,Culicinae,Aedini,Aedes,Halaedes,australis,null,null,sp0000000169,
pub0000000004,Culicinae,Aedini,Aedes,Ochlerotatus,antipodeus,null,null,sp0000000170,
pub0000000004,Culicinae,Aedini,Aedes,Ochlerotatus,subalbirostris,null,null,sp0000000171,
pub0000000004,Culicinae,Aedini,Aedes,Rampamyia,notoscriptus,null,null,sp0000000172,
pub0000000004,Culicinae,Sabethini,Maorigoeldia,null,argyropus,null,null,sp0000000173,
pub0000000001,Culicinae,Culicini,Culex,Culex,samoaensis,null,null,sp0000000174,
pub0000000001,Culicinae,Culicini,Culex,Oculeomyia,albinervis,null,null,sp0000000175,
pub0000000001,Culicinae,Culicini,Culex,Oculeomyia,squamosus,null,null,sp0000000176,
pub0000000001,Culicinae,Culicini,Culex,Oculeomyia,bitaeniorhynchus,null,null,sp0000000177,
pub0000000001,Culicinae,Culicini,Culex,Oculeomyia,starckeae,null,null,sp0000000178,
pub0000000001,Culicinae,Culicini,Lutzia,Metalutzia,halifaxii,null,null,sp0000000179,
pub0000000005,Culicinae,Aedini,Aedes,Protomacleaya,hendersoni,null,null,sp0000000180,
pub0000000005,Culicinae,Aedini,Aedes,Protomacleaya,brelandi,null,null,sp0000000181,
pub0000000005,Culicinae,Aedini,Aedes,Protomacleaya,triseriatus,null,null,sp0000000182,
pub0000000005,Culicinae,Aedini,Aedes,Protomacleaya,burgeri,null,null,sp0000000183,
pub0000000005,Culicinae,Aedini,Aedes,Protomacleaya,kompi,null,null,sp0000000184,
pub0000000005,Culicinae,Aedini,Aedes,Protomacleaya,schicki,null,null,sp0000000185,
pub0000000005,Culicinae,Aedini,Aedes,Protomacleaya,chionotum,null,null,sp0000000186,
pub0000000005,Culicinae,Aedini,Aedes,Protomacleaya,niveoscutum,null,null,sp0000000187,
pub0000000005,Culicinae,Aedini,Aedes,Protomacleaya,sandrae,null,null,sp0000000188,
pub0000000005,Culicinae,Aedini,Aedes,Protomacleaya,knabi,null,null,sp0000000189,
pub0000000005,Culicinae,Aedini,Aedes,Kompia,purpureipes,null,null,sp0000000190,
pub0000000006,Culicinae,Aedini,Haemagogus,Haemagogus,anastasionis,null,null,sp0000000191,
pub0000000006,Culicinae,Aedini,Haemagogus,Haemagogus,chrysochlorus,null,null,sp0000000192,
pub0000000006,Culicinae,Aedini,Haemagogus,Haemagogus,spegazzinii,null,null,sp0000000193,
pub0000000006,Culicinae,Aedini,Haemagogus,Haemagogus,baresi,null,null,sp0000000194,
pub0000000006,Culicinae,Aedini,Haemagogus,Haemagogus,andinus,null,null,sp0000000195,
pub0000000006,Culicinae,Aedini,Haemagogus,Haemagogus,nebulosus,null,null,sp0000000196,
pub0000000006,Culicinae,Aedini,Haemagogus,Haemagogus,janthinomys,null,null,sp0000000197,
